annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million
25025;VENDREDI;28/03/2025;8;26/06/2025;10;21;30;45;42;1;9;-10-21-30-42-45-;-1-9-;0;1;250000000;5;9;338645,8;9;24;18585,6;36;116;1197,7;675;2040;125,4;1562;4599;58,8;1513;4772;39,8;20673;64252;14,7;28578;88580;11,9;69243;210303;9,3;108134;338662;7;420996;1300647;5,7;1051344;3111406;3,8;3;1990,9;10;477,8;308;19,3;692;8,6;9473;1,5;13202;3;49866;3,7;83519;10,4;195689;2,5;1696563;2,5;FF 641 9577;
25024;MARDI;25/03/2025;7;23/06/2025;36;3;18;33;1;6;2;-1-3-18-33-36-;-2-6-;0;0;0;0;2;616553,4;1;8;36024,6;14;69;1300,9;372;1334;123,9;881;3076;56,8;703;2774;44,2;13205;46584;13,1;16027;59429;11,5;34833;132501;9,6;69546;247081;6,2;240339;876893;5,5;521721;1942643;4;0;0;6;971,4;183;17,6;407;7,9;5919;1,3;7431;2,9;30788;3,3;52442;9;110488;2,4;985309;2,3;DQ 142 2803;
25023;VENDREDI;21/03/2025;6;19/06/2025;9;17;18;21;50;12;5;-9-17-18-21-50-;-5-12-;0;0;0;1;4;330212,8;5;17;18159,1;18;72;1335,4;392;1407;125,8;803;2983;62,7;913;3328;39,5;11191;41905;15,6;18582;69007;10,6;45023;161655;8,4;57935;214175;7,7;264214;977456;5,3;649044;2319001;3,6;0;0;8;790,9;196;17,9;382;9,2;5340;1,6;8524;2,7;27933;3,9;43278;11,8;122096;2,3;944454;2,7;LI 392 0967;
25022;MARDI;18/03/2025;5;16/06/2025;46;9;35;4;50;8;11;-4-9-35-46-50-;-8-11-;0;0;0;0;3;332090,3;0;6;38807,4;9;33;2197,7;205;848;157,5;443;1879;75,1;389;1793;55,3;6844;28656;17,3;9377;39406;14;21968;91297;11,2;39447;160779;7,7;152825;620751;6,3;370686;1447963;4,3;0;0;4;1138,1;102;24,7;217;11,6;3343;1,8;4459;3,8;18955;4,2;32673;11,3;72159;2,8;736962;2,4;ET 758 3936;
25021;VENDREDI;14/03/2025;4;12/06/2025;8;33;49;35;10;2;9;-8-10-33-35-49-;-2-9-;0;0;0;2;3;387524,6;2;8;33964;11;55;1538,7;257;1126;138,4;645;2642;62,3;621;2540;45,5;10559;41736;13,8;12934;52637;12,2;28353;114586;10,4;59201;232010;6,2;203369;806481;5,6;447185;1755386;4,2;0;0;8;653,9;133;21,8;283;10,2;4724;1,5;6113;3,1;27173;3,3;45994;9,2;94187;2,5;878881;2,4;RO 531 0083;
25020;MARDI;11/03/2025;3;09/06/2025;36;37;42;47;13;11;7;-13-36-37-42-47-;-7-11-;0;0;0;1;3;302199,8;4;10;21188,7;5;37;1783,7;191;800;151,9;496;2056;62,5;376;1679;53,7;7165;30755;14,6;9028;39147;12,8;19083;82665;11,3;39888;167267;6,7;142894;596277;6;301940;1269940;4,5;0;0;3;1303;95;22,8;219;9,9;3239;1,6;4077;3,5;18596;3,6;32282;9,8;66164;2,7;675483;2,3;HT 340 0230;
25019;VENDREDI;07/03/2025;2;05/06/2025;32;6;48;27;10;8;3;-6-10-27-32-48-;-3-8-;0;0;0;2;3;429799,4;3;12;25112,8;26;89;1054,6;418;1507;114,7;983;3784;48,3;874;3081;41,6;14093;53706;11,9;17544;64892;11;36382;136202;9,7;74527;286792;5,6;258524;946610;5,3;539716;1986190;4,1;1;3437,9;7;392,9;195;17,6;397;8,6;6320;1,3;8137;2,8;34077;3,1;57595;8,7;120236;2,3;1047190;2,3;NC 896 8360;
25018;MARDI;04/03/2025;1;02/06/2025;29;42;15;20;35;9;2;-15-20-29-35-42-;-2-9-;0;0;0;2;7;68564,8;1;5;22434,6;6;28;1247,8;106;530;121,4;267;1221;55,7;223;1141;41,9;3909;18059;13,2;4771;22979;11,6;10188;48863;10,1;20874;96708;6,2;73372;344094;5,5;153613;724716;4,2;1;1060,2;3;282,7;48;22;136;7,7;1877;1,4;2383;2,9;9962;3,3;16646;9,2;35751;2,4;326024;2,3;HB 180 2007;
25017;VENDREDI;28/02/2025;4;29/05/2025;43;31;46;16;7;9;5;-7-16-31-43-46-;-5-9-;0;1;52448674;0;2;353112,6;0;8;20632;4;35;1468,8;162;702;134,9;372;1975;50,6;283;1485;47,3;5656;29005;12,1;6731;33630;11,6;14114;69321;10,5;31772;161746;5,4;102444;490638;5,6;215501;1023433;4,3;0;0;0;0;80;52;165;9;2565;1,4;3219;3;14543;3,2;25403;8,5;48593;2,5;453565;2,3;RD 782 8358;
25016;MARDI;25/02/2025;3;26/05/2025;23;24;44;17;22;11;6;-17-22-23-24-44-;-6-11-;0;0;0;1;3;167896;1;6;19620;5;22;1666,6;126;544;124,1;243;1169;61;260;1374;36,5;3660;17726;14,1;5632;27761;10;13903;69403;7,5;18035;88397;7,1;76685;373133;5,3;193603;929020;3,4;1;1034,7;2;413,8;68;15,2;123;8,4;1785;1,4;2636;2,6;9025;3,6;13102;11,5;36884;2,3;273443;2,7;GT 442 6106;
